अंमुक्त,Free
अखंड,Unbroken
अखण्ड,Akhand
अग्रगण्य,Leading
अचूकता,Infallibility
अचूक,Sure
अच्छाई,Goodness
अच्छा,good
अच्छीतरह,properly
अच्छी,good
अच्छीनस्ल,Good
अच्छीस्थिति,Good condition
अच्छे,The good
अजेय,Invincible
अडिग,Unwavering
अतिउत्साहित,Over stimulated
अतिविशाल,Extremely huge
अतुलनीय,Matchless
अथक,Tireless
अदभुत,Amazing
अदभुत रूप,Amazing appearance
अद्भुत,wonderful
अद्वितीय,Unique
अधिकतम,Maximum
अधिकता,Excess
अधिकारपूर्ण,Empowered
अधिकहोना,be more
अधिमानत,Preferably
अधिवक्ताओं,Advocates
अनमोल,priceless
अनायास,Spontaneously
अनुकरणीय,Exemplary
अनुकूलक,Adapter
अनुकूलतापूर्वक,Favorably
अनुकूलनीय,Adaptable
अनुकूल,Favorable
अनुग्रह,Grace
अनुग्राही,Accommodative
अनुभूतियां,Sensations
अनुमेय,Permissible
अनुमोदन,Approval
अनुराग,Affection
अन्तरंग,Inside
अपराजेयता,Invincibility
अपराजेय,Invincible
अपील,Appeal
अबाध,Free
अभिजात,The elite
अभिनंदन,Greetings
अभिनव,Innovation
अभिन्न,Integral
अभिपुष्टि,Confirmation
अभिमानी,Conceited
अभिमान,the pride
अभेद्य,Impregnable
अमनपसंद,Amused
अमीर,rich
अमूल्य,Priceless
अमोघ,Effectual
अर्चक,Archak
अर्दली,Orderly
अलबेला,Beauteous
अल्हड़,Carefree
अवाक,Speechless
अविस्मरणीय,Unforgettable
असंयत,Incontinence
असत्य,FALSE
असली,Real
असाधारण,Extraordinary
असीमित,Unlimited
असीम,Infinite
अस्वाभाविक,Unnatural
अहानिकर,Innocuous
अहिंसात्मक,Non-violent
अहिंस,Ahins
आंखपकड़,Gripe
आकर्षक,Attractive
आकर्षण,Attraction
आकस्मिक,Accidental
आकांक्षाओं,Aspirations
आकांक्षा,Aspiration
आगेनिकलना,took the lead
आगेनिकल,Forward
आगेबढ़ना,getting ahead
आग्रहपूर्वक,Insistently
आग्रह,Insistence
आज़ाद,Free
आज्ञाकारी,Compliant
आड़ू,Peach
आत्मनिर्भरता,Self reliance
आत्मनिर्भर,self dependent
आत्मविश्वास,Self-confidence
